id_igralke,ime,priimek,polno_ime,drzava,datum_rojstva,starost,rang,tocke,leto,kontinent
260078,Fabiola,Zuluaga,Fabiola Zuluaga,COL,1979-01-07,22,39,755,2000,Južna Amerika
140145,Henrieta,Nagyova,Henrieta Nagyova,SVK,1978-12-15,22,40,755,2000,Evropa
20351,Cara,Black,Cara Black,ZIM,1979-02-17,22,41,747,2000,
30348,Tathiana,Garbin,Tathiana Garbin,ITA,1977-06-30,24,42,745,2000,Evropa
150134,Lilia,Osterloh,Lilia Osterloh,USA,1978-04-07,23,43,709,2000,Severna Amerika
40163,Ruxandra,Dragomir Ilie,Ruxandra Dragomir Ilie,ROM,1972-10-24,28,44,705,2000,
80350,Justine,Henin,Justine Henin,BEL,1982-06-01,19,45,700,2000,Evropa
190361,Anna,Smashnova,Anna Smashnova,ISR,1976-07-16,24,46,699,2000,Evropa
80218,Kveta,Peschke,Kveta Peschke,CZE,1975-07-09,25,47,690,2000,Evropa
100049,Sonya,Jeyaseelan,Sonya Jeyaseelan,CAN,1976-04-24,25,48,648,2000,Severna Amerika
10021,Sabine,Appelmans,Sabine Appelmans,BEL,1972-04-22,29,49,648,2000,Evropa
30382,Denisa,Chladkova,Denisa Chladkova,CZE,1979-02-08,22,50,632,2000,Evropa
130483,Corina,Morariu,Corina Morariu,USA,1978-01-26,23,51,629,2000,Severna Amerika
160235,Sylvia,Plischke,Sylvia Plischke,AUT,1977-07-20,23,52,611,2000,Evropa
20522,Daja,Bedanova,Daja Bedanova,CZE,1983-03-09,18,53,610,2000,Evropa
160078,Nicole,Pratt,Nicole Pratt,AUS,1973-03-05,28,54,607,2000,Oceanija
130324,Angeles,Montolio,Angeles Montolio,ESP,1975-08-06,25,55,591,2000,Evropa
110266,Rita,Kuti-Kis,Rita Kuti-Kis,HUN,1978-02-13,23,56,574,2000,Evropa
30227,Asa,Svensson,Asa Svensson,SWE,1975-06-16,26,57,572,2000,Evropa
130533,Anastasia,Myskina,Anastasia Myskina,RUS,1981-07-08,19,58,572,2000,Evropa
110167,Joannette,Kruger,Joannette Kruger,RSA,1973-09-03,27,59,569,2000,Afrika
160379,Nadia,Petrova,Nadia Petrova,RUS,1982-06-08,19,60,525,2000,Evropa
110329,Jana,Kandarr,Jana Kandarr,GER,1976-09-21,24,61,504,2000,Evropa
130316,Iva,Majoli,Iva Majoli,CRO,1977-08-12,23,62,503,2000,Evropa
60061,Silvia,Farina Elia,Silvia Farina Elia,ITA,1972-04-27,29,63,499,2000,Evropa
150066,Miriam,Oremans,Miriam Oremans,NED,1972-09-09,28,64,496,2000,Evropa
160200,Sarah,Pitkowski-Malcor,Sarah Pitkowski-Malcor,FRA,1975-11-13,25,65,494,2000,Evropa
20303,Kristie,Boogert,Kristie Boogert,NED,1973-12-16,27,66,482,2000,Evropa
200204,Meilen,Tu,Meilen Tu,USA,1978-01-17,23,67,476,2000,Severna Amerika
70267,Adriana,Rikl Gersi,Adriana Rikl Gersi,CZE,1976-06-26,25,68,475,2000,Evropa
140081,Jana,Nejedly,Jana Nejedly,CAN,1974-06-09,27,69,465,2000,Severna Amerika
130616,Marta,Marrero,Marta Marrero,ESP,1983-01-16,18,70,452,2000,Evropa
180310,Brie,Rippner,Brie Rippner,USA,1980-01-21,21,71,444,2000,Severna Amerika
10209,Shinobu,Asagoe,Shinobu Asagoe,JPN,1976-06-28,25,72,442,2000,Azija
160339,Tina,Pisnik,Tina Pisnik,SLO,1981-02-19,20,73,440,2000,Evropa
20442,Olga,Barabanschikova,Olga Barabanschikova,BLR,1979-11-02,21,74,436,2000,Evropa
200265,Iroda,Tulyaganova,Iroda Tulyaganova,UZB,1982-01-07,19,75,432,2000,
40148,Rossana,De Los Ríos,Rossana De Los Ríos,PAR,1975-09-16,25,76,431,2000,Južna Amerika
70192,Rita,Grande,Rita Grande,ITA,1975-03-23,26,77,409,2000,Evropa
260013,Natasha,Zvereva,Natasha Zvereva,BLR,1971-04-16,30,78,407,2000,Evropa
260065,Alina,Jidkova,Alina Jidkova,RUS,1977-01-18,24,79,404,2000,Evropa
190666,Francesca,Schiavone,Francesca Schiavone,ITA,1980-06-23,21,80,395,2000,Evropa
190500,Pavlina,Nola,Pavlina Nola,NZL,1974-07-14,26,81,391,2000,Oceanija
70322,Magdalena,Grzybowska,Magdalena Grzybowska,POL,1978-11-22,22,82,390,2000,Evropa
220121,Miroslava,Vavrinec,Miroslava Vavrinec,SUI,1978-04-01,23,83,388,2000,Evropa
80389,Jennifer,Hopkins,Jennifer Hopkins,USA,1981-02-10,20,84,382,2000,Severna Amerika
80186,Karina,Habsudova,Karina Habsudova,SVK,1973-08-02,27,85,380,2000,Evropa
160303,Tatiana,Poutchek,Tatiana Poutchek,BLR,1979-01-09,22,86,379,2000,Evropa
230202,Marlene,Weingartner,Marlene Weingartner,GER,1980-01-30,21,87,372,2000,Evropa
90080,Marissa,Gould,Marissa Gould,USA,1980-06-23,21,88,372,2000,Severna Amerika
180160,Virginia,Ruano Pascual,Virginia Ruano Pascual,ESP,1973-09-21,27,89,369,2000,Evropa
230204,Patricia,Wartusch,Patricia Wartusch,AUT,1978-08-05,22,90,363,2000,Evropa
30339,Giulia,Casoni,Giulia Casoni,ITA,1978-04-19,23,91,362,2000,Evropa
190125,Alexandra,Stevenson,Alexandra Stevenson,USA,1980-12-15,20,92,352,2000,Severna Amerika
200122,Cristina,Torrens Valero,Cristina Torrens Valero,ESP,1974-09-12,26,93,352,2000,Evropa
250040,Jing-Qian,Yi,Jing-Qian Yi,CHN,1974-02-28,27,94,345,2000,Azija
70245,Emmanuelle,Gagliardi,Emmanuelle Gagliardi,SUI,1976-07-09,24,95,343,2000,Evropa
20243,Lubomira,Bacheva,Lubomira Bacheva,BUL,1975-03-07,26,96,343,2000,Evropa
190435,María,Sánchez Lorenzo,María Sánchez Lorenzo,ESP,1977-11-07,23,97,343,2000,Evropa
140179,Sandra,Nacuk,Sandra Nacuk,SCG,1980-08-17,20,98,342,2000,
180088,Barbara,Rittner,Barbara Rittner,GER,1973-04-25,28,99,342,2000,Evropa
30003,Els,Callens,Els Callens,BEL,1970-08-20,30,100,336,2000,Evropa
120277,Emilie,Loit,Emilie Loit,FRA,1979-06-09,22,101,335,2000,Evropa
150137,Nadejda,Ostrovskaya,Nadejda Ostrovskaya,BLR,1980-10-29,20,102,334,2000,Evropa
80260,Amanda,Hopmans,Amanda Hopmans,NED,1975-02-11,26,103,321,2000,Evropa
220070,Maria,Vento-Kabchi,Maria Vento-Kabchi,VEN,1974-05-24,27,104,317,2000,Južna Amerika
160365,Holly,Parkinson,Holly Parkinson,USA,1979-02-10,22,105,317,2000,Severna Amerika
20357,Yvette,Basting,Yvette Basting,NED,1977-06-08,24,106,311,2000,Evropa
130050,Rachel,Mcquillan,Rachel Mcquillan,AUS,1971-12-02,29,107,310,2000,Oceanija
80394,Daniela,Hantuchova,Daniela Hantuchova,SVK,1983-04-23,18,108,309,2000,Evropa
130611,Anabel,Medina Garrigues,Anabel Medina Garrigues,ESP,1982-07-31,18,109,295,2000,Evropa
30360,Catalina,Castaño,Catalina Castaño,COL,1979-07-07,21,110,294,2000,Južna Amerika
120303,Louise,Latimer,Louise Latimer,GBR,1978-01-19,23,111,292,2000,Evropa
40198,Mariana,Diaz-Oliva,Mariana Diaz-Oliva,ARG,1976-03-11,25,112,292,2000,Južna Amerika
190295,Martina,Sucha,Martina Sucha,SVK,1980-11-20,20,113,286,2000,Evropa
110380,Jelena,Kostanic Tosic,Jelena Kostanic Tosic,CRO,1981-07-06,19,114,285,2000,Evropa
130548,Alicia,Molik,Alicia Molik,AUS,1981-01-27,20,115,284,2000,Oceanija
230131,Vanessa,Webb,Vanessa Webb,CAN,1976-01-24,25,116,282,2000,Severna Amerika
120235,Janet,Lee,Janet Lee,TPE,1976-10-22,24,117,276,2000,
40131,Erika,De Lone,Erika De Lone,USA,1972-10-14,28,118,276,2000,Severna Amerika
30226,Catalina,Cristea,Catalina Cristea,ROM,1975-06-02,26,119,275,2000,
190636,Katarina,Srebotnik,Katarina Srebotnik,SLO,1981-03-12,20,120,272,2000,Evropa
20344,Dawn,Buth,Dawn Buth,USA,1976-05-29,25,121,271,2000,Severna Amerika
30390,Ludmila,Cervanova,Ludmila Cervanova,SVK,1979-10-15,21,122,271,2000,Evropa
130497,Katalin,Marosi,Katalin Marosi,HUN,1979-11-12,21,123,258,2000,Evropa
40269,Evie,Dominikovic,Evie Dominikovic,AUS,1980-05-29,21,124,254,2000,Oceanija
250047,Yuka,Yoshida,Yuka Yoshida,JPN,1976-04-01,25,125,249,2000,Azija
120357,Bianka,Lamade,Bianka Lamade,GER,1982-08-30,18,126,248,2000,Evropa
110310,Sandra,Kleinova,Sandra Kleinova,CZE,1978-05-08,23,127,247,2000,Evropa
120317,Nuria,Llagostera Vives,Nuria Llagostera Vives,ESP,1980-05-16,21,128,243,2000,Evropa
190571,Tara,Snyder,Tara Snyder,USA,1977-05-26,24,129,240,2000,Severna Amerika
30261,Laurence,Courtois,Laurence Courtois,BEL,1976-01-18,25,130,238,2000,Evropa
70198,Andrea,Glass,Andrea Glass,GER,1976-07-17,24,131,237,2000,Evropa
110489,Lina,Krasnoroutskaya,Lina Krasnoroutskaya,RUS,1984-04-29,17,132,234,2000,Evropa
20992,Elena,Bovina,Elena Bovina,RUS,1983-03-10,18,133,233,2000,Evropa
20549,Allison,Bradshaw,Allison Bradshaw,USA,1980-11-14,20,134,233,2000,Severna Amerika
160159,Gloria,Pizzichini,Gloria Pizzichini,ITA,1975-07-24,25,135,231,2000,Evropa
120330,Na,Li,Na Li,CHN,1982-02-26,19,136,228,2000,Azija
20113,Anca,Barna,Anca Barna,GER,1977-05-14,24,137,226,2000,Evropa
190562,Milagros,Sequera,Milagros Sequera,VEN,1980-09-30,20,138,222,2000,Južna Amerika
160183,Julie,Pullin,Julie Pullin,GBR,1975-11-05,25,139,219,2000,Evropa
30166,Sandra,Cacic,Sandra Cacic,USA,1974-09-10,26,140,219,2000,Severna Amerika
40300,Lourdes,Domínguez Lino,Lourdes Domínguez Lino,ESP,1981-03-31,20,141,216,2000,Evropa
230186,Mashona,Washington,Mashona Washington,USA,1976-05-31,25,142,215,2000,Severna Amerika
180384,Virginie,Razzano,Virginie Razzano,FRA,1983-05-12,18,143,209,2000,Evropa
60127,Alexandra,Fusai,Alexandra Fusai,FRA,1973-11-22,27,144,205,2000,Evropa
30294,Jill,Craybas,Jill Craybas,USA,1974-07-04,26,145,204,2000,Severna Amerika
160318,Wynne,Prakusya,Wynne Prakusya,INA,1981-04-26,20,146,200,2000,
40058,Maureen,Drake,Maureen Drake,CAN,1971-03-21,30,147,197,2000,Severna Amerika
20473,Angelika,Bachmann,Angelika Bachmann,GER,1979-05-16,22,148,195,2000,Evropa
80219,Janette,Husarova,Janette Husarova,SVK,1974-06-04,27,149,187,2000,Evropa
220135,Alena,Vaskova,Alena Vaskova,CZE,1975-11-08,25,150,184,2000,Evropa
130591,Maria Jose ,Martinez Sanchez,Maria Jose  Martinez Sanchez,ESP,1982-08-12,18,151,184,2000,Evropa
10230,Greta,Arn,Greta Arn,HUN,1979-04-13,22,152,179,2000,Evropa
130333,Lisa,Mcshea,Lisa Mcshea,AUS,1974-10-29,26,153,179,2000,Oceanija
120227,Francesca,Lubiani,Francesca Lubiani,ITA,1977-07-12,23,154,178,2000,Evropa
140117,Lenka,Nemeckova,Lenka Nemeckova,CZE,1976-04-20,25,155,168,2000,Evropa
130443,Petra,Mandula,Petra Mandula,HUN,1978-01-17,23,156,166,2000,Evropa
190446,Miriam,Schnitzer,Miriam Schnitzer,GER,1977-01-16,24,157,165,2000,Evropa
60288,Stéphanie,Foretz ,Stéphanie Foretz ,FRA,1981-05-03,20,158,164,2000,Evropa
110286,Renata,Kolbovic,Renata Kolbovic,CAN,1976-07-30,24,159,163,2000,Severna Amerika
190473,Selima,Sfar,Selima Sfar,TUN,1977-07-08,23,160,162,2000,
140155,Kyra,Nagy,Kyra Nagy,HUN,1977-12-29,23,161,161,2000,Evropa
20204,Eva,Bes,Eva Bes,ESP,1973-01-14,28,162,160,2000,Evropa
80366,Tina,Hergold,Tina Hergold,SLO,1981-10-18,19,163,159,2000,Evropa
180234,Dally,Randriantefy,Dally Randriantefy,MAD,1977-02-23,24,164,158,2000,
190185,Irina,Spirlea,Irina Spirlea,ROU,1974-03-26,27,165,155,2000,Evropa
160361,Michaela,Pastikova,Michaela Pastikova,CZE,1980-03-27,21,166,154,2000,Evropa
40293,Eva,Dyrberg,Eva Dyrberg,DEN,1980-02-17,21,167,154,2000,Evropa
130032,Marion,Maruska,Marion Maruska,AUT,1972-12-15,28,168,153,2000,Evropa
190007,Bryanne,Stewart,Bryanne Stewart,AUS,1979-12-09,21,169,152,2000,Oceanija
190339,Melanie,Schnell,Melanie Schnell,AUT,1977-02-22,24,170,150,2000,Evropa
180319,Samantha,Reeves,Samantha Reeves,USA,1979-01-17,22,171,150,2000,Severna Amerika
180294,Petra,Rampre,Petra Rampre,SLO,1980-01-20,21,172,150,2000,Evropa
30419,Yoon Jeong,Cho,Yoon Jeong Cho,KOR,1979-04-02,22,173,149,2000,Azija
150103,Saori,Obata,Saori Obata,JPN,1978-04-23,23,174,148,2000,Azija
40152,Seda,Noorlander,Seda Noorlander,NED,1974-05-22,27,175,147,2000,Evropa
70393,Zsofia,Gubacsi,Zsofia Gubacsi,HUN,1981-04-06,20,176,143,2000,Evropa
260091,Dragana,Zaric,Dragana Zaric,SCG,1977-08-01,23,177,142,2000,
160217,Antoaneta,Pandjerova,Antoaneta Pandjerova,BUL,1977-06-22,24,178,142,2000,Evropa
180207,Gisela,Riera,Gisela Riera,ESP,1976-05-07,25,179,140,2000,Evropa
30347,Amelie,Cocheteux,Amelie Cocheteux,FRA,1978-03-27,23,180,137,2000,Evropa
160113,Maja,Palaversic Coopersmith,Maja Palaversic Coopersmith,CRO,1973-03-24,28,181,136,2000,Evropa
180239,Mariam,Ramon Climent,Mariam Ramon Climent,ESP,1976-08-26,24,182,136,2000,Evropa
110492,Klara,Koukalova,Klara Koukalova,CZE,1982-02-24,19,183,133,2000,Evropa
190613,Antonella,Serra Zanetti,Antonella Serra Zanetti,ITA,1980-07-25,20,184,133,2000,Evropa
130556,Maja,Matevzic,Maja Matevzic,SLO,1980-06-13,21,185,132,2000,Evropa
60160,Evelyn,Fauth,Evelyn Fauth,AUT,1976-11-27,24,186,132,2000,Evropa
130485,Bahia,Mouhtassine,Bahia Mouhtassine,MAR,1979-08-23,21,187,130,2000,Afrika
220170,Nirupama,Sanjeev,Nirupama Sanjeev,IND,1976-12-08,24,188,129,2000,Azija
40189,Germana,Di Natale,Germana Di Natale,ITA,1974-04-02,27,189,128,2000,Evropa
70370,Ainhoa,Goni,Ainhoa Goni,ESP,1979-08-07,21,190,128,2000,Evropa
10136,Lucie,Ahl,Lucie Ahl,GBR,1974-07-23,26,191,127,2000,Evropa
160405,Tatiana,Perebiynis,Tatiana Perebiynis,UKR,1982-12-15,18,192,127,2000,Evropa
150048,Tzipora,Obziler,Tzipora Obziler,ISR,1973-04-19,28,193,125,2000,Evropa
60106,Anna,Foldenyi,Anna Foldenyi,HUN,1974-08-22,26,193,125,2000,Evropa
200191,Dessislava,Topalova,Dessislava Topalova,BUL,1978-06-08,23,195,125,2000,Evropa
220068,Daphne,Van De Zande,Daphne Van De Zande,BEL,1974-07-21,26,196,124,2000,Evropa
10110,Laurence,Andretto,Laurence Andretto,FRA,1973-05-14,28,197,123,2000,Evropa
30338,Alice,Canepa,Alice Canepa,ITA,1978-04-30,23,198,123,2000,Evropa
110357,Eun-Ha,Kim,Eun-Ha Kim,KOR,1975-03-08,26,199,121,2000,Azija
160292,Libuse,Prusova,Libuse Prusova,CZE,1979-07-13,21,200,118,2000,Evropa
190855,María Emilia,Salerni,María Emilia Salerni,ARG,1983-05-14,18,201,118,2000,Južna Amerika
120323,Mirjana,Lucic-Baroni,Mirjana Lucic-Baroni,CRO,1982-03-09,19,202,118,2000,Evropa
110373,Tatiana,Kovalchuk,Tatiana Kovalchuk,UKR,1979-07-24,21,203,117,2000,Evropa
190572,Irina,Selyutina,Irina Selyutina,KAZ,1979-11-07,21,204,116,2000,Azija
190510,Jessica,Steck,Jessica Steck,RSA,1978-08-06,22,205,115,2000,Afrika
180306,Angelika,Roesch,Angelika Roesch,GER,1977-06-08,24,206,115,2000,Evropa
160411,Marie-Ève,Pelletier,Marie-Ève Pelletier,CAN,1982-05-18,19,207,115,2000,Severna Amerika
200276,Sarah,Taylor,Sarah Taylor,USA,1981-11-06,19,208,115,2000,Severna Amerika
110193,Tina,Krizan,Tina Krizan,SLO,1974-03-18,27,209,114,2000,Evropa
50092,Annabel,Ellwood,Annabel Ellwood,AUS,1978-02-02,23,210,114,2000,Oceanija
260081,Anna,Zaporozhanova,Anna Zaporozhanova,UKR,1979-08-09,21,211,113,2000,Evropa
80371,Vanessa,Paffrath,Vanessa Paffrath,GER,1981-01-15,20,212,112,2000,Evropa
150017,Zuzana,Ondraskova,Zuzana Ondraskova,CZE,1980-05-03,21,213,112,2000,Evropa
190517,Tracy,Almeda-Singian,Tracy Almeda-Singian,USA,1979-10-06,21,214,112,2000,Severna Amerika
100087,Karolina,Jagieniak,Karolina Jagieniak,FRA,1979-06-04,22,215,110,2000,Evropa
180235,Hila,Rosen,Hila Rosen,ISR,1977-09-05,23,216,109,2000,Evropa
130313,Eva,Martincova,Eva Martincova,CZE,1975-03-04,26,217,108,2000,Evropa
130137,Nana,Smith Rogers,Nana Smith Rogers,JPN,1971-04-10,30,218,107,2000,Azija
20535,Mia,Buric,Mia Buric,GER,1982-05-23,19,219,106,2000,Evropa
110280,Eva,Krejcova,Eva Krejcova,CZE,1976-11-12,24,220,104,2000,Evropa
70233,Sophie,Georges,Sophie Georges,FRA,1977-02-08,24,221,102,2000,Evropa
220248,Julia,Vakulenko,Julia Vakulenko,UKR,1983-07-10,17,222,101,2000,Evropa
30462,Maria Elena,Camerin,Maria Elena Camerin,ITA,1982-03-21,19,223,99,2000,Evropa
40304,Laura,Dell'Angelo,Laura Dell'Angelo,ITA,1981-05-17,20,224,99,2000,Evropa
130342,Karin,Miller,Karin Miller,USA,1977-12-10,23,225,94,2000,Severna Amerika
230117,Jolene,Watanabe-Giltz,Jolene Watanabe-Giltz,USA,1968-08-31,32,226,94,2000,Severna Amerika
130396,Conchita,Martínez Granados,Conchita Martínez Granados,ESP,1976-01-20,25,227,93,2000,Evropa
60285,Clarisa,Fernández,Clarisa Fernández,ARG,1981-08-28,19,228,93,2000,Južna Amerika
70340,Amanda,Grahame,Amanda Grahame,AUS,1979-03-25,22,229,92,2000,Oceanija
230129,Lorna,Woodroffe,Lorna Woodroffe,GBR,1976-08-18,24,230,92,2000,Evropa
110496,Kristina,Kraszewski,Kristina Kraszewski,USA,1979-08-11,21,231,90,2000,Severna Amerika
40200,Miriam,D'Agostini,Miriam D'Agostini,BRA,1978-08-15,22,232,90,2000,Južna Amerika
260073,Anna,Bielen-Zarska,Anna Bielen-Zarska,POL,1979-07-22,21,233,88,2000,Evropa
120339,Kelly,Liggan,Kelly Liggan,IRL,1979-02-05,22,234,88,2000,Evropa
160093,Flora,Perfetti,Flora Perfetti,ITA,1969-01-29,32,235,88,2000,Evropa
130419,Katarina,Misic,Katarina Misic,SCG,1976-02-05,25,236,88,2000,
80348,Jana,Hlavackova,Jana Hlavackova,CZE,1981-05-22,20,237,87,2000,Evropa
20334,Adriana,Barna,Adriana Barna,GER,1978-05-21,23,238,87,2000,Evropa
180356,Anastasia,Rodionova,Anastasia Rodionova,AUS,1982-05-12,19,239,85,2000,Oceanija
10143,Julia,Abe,Julia Abe,GER,1976-05-21,25,240,85,2000,Evropa
30396,Joana,Cortez,Joana Cortez,BRA,1979-01-11,22,241,84,2000,Južna Amerika
10278,Maret,Ani,Maret Ani,EST,1982-01-31,19,242,84,2000,Evropa
10185,Rosa Maria,Andres Rodriguez,Rosa Maria Andres Rodriguez,ESP,1977-05-29,24,243,83,2000,Evropa
110178,Svetlana,Krivencheva,Svetlana Krivencheva,BUL,1973-12-30,27,244,82,2000,Evropa
80313,Adrienn,Hegedus,Adrienn Hegedus,HUN,1977-12-26,23,245,82,2000,Evropa
90066,Haruka,Inoue,Haruka Inoue,JPN,1977-06-07,24,246,81,2000,Azija
190276,Adriana,Serra Zanetti,Adriana Serra Zanetti,ITA,1976-03-05,25,247,81,2000,Evropa
200192,Elena,Tatarkova,Elena Tatarkova,UKR,1976-08-22,24,248,81,2000,Evropa
70191,Lea,Ghirardi,Lea Ghirardi,FRA,1974-02-10,27,249,80,2000,Evropa
110348,Magdalena,Kucerova,Magdalena Kucerova,GER,1976-10-06,24,250,80,2000,Evropa
40106,Lindsay,Davenport,Lindsay Davenport,USA,1976-06-08,26,1,4902,2001,Severna Amerika
30200,Jennifer,Capriati,Jennifer Capriati,USA,1976-03-29,26,2,4892,2001,Severna Amerika
230220,Venus,Williams,Venus Williams,USA,1980-06-17,22,3,4128,2001,Severna Amerika
80301,Martina,Hingis,Martina Hingis,SUI,1980-09-30,21,4,3944,2001,Evropa
30458,Kim,Clijsters,Kim Clijsters,BEL,1983-06-08,19,5,3265,2001,Evropa
230234,Serena,Williams,Serena Williams,USA,1981-09-26,20,6,3004,2001,Severna Amerika
80350,Justine,Henin,Justine Henin,BEL,1982-06-01,20,7,2980,2001,Evropa
40344,Jelena,Dokic,Jelena Dokic,AUS,1983-04-12,19,8,2780,2001,Oceanija
130450,Amélie,Mauresmo,Amélie Mauresmo,FRA,1979-07-05,22,9,2765,2001,Evropa
190141,Monica,Seles,Monica Seles,USA,1973-12-02,28,10,2306,2001,Severna Amerika
200109,Sandrine,Testud,Sandrine Testud,FRA,1972-04-03,30,11,2056,2001,Evropa
190565,Meghann,Shaughnessy,Meghann Shaughnessy,USA,1979-04-13,23,12,1833,2001,Severna Amerika
200011,Nathalie,Tauziat,Nathalie Tauziat,FRA,1967-10-17,34,13,1754,2001,Evropa
60061,Silvia,Farina Elia,Silvia Farina Elia,ITA,1972-04-27,30,14,1738,2001,Evropa
40289,Elena,Dementieva,Elena Dementieva,RUS,1981-10-15,20,15,1576,2001,Evropa
130245,Magdalena,Maleeva,Magdalena Maleeva,BUL,1975-04-01,27,16,1571,2001,Evropa
190008,Arantxa,Sanchez-Vicario,Arantxa Sanchez-Vicario,ESP,1971-12-18,30,17,1548,2001,Evropa
80150,Anke,Huber,Anke Huber,GER,1974-12-04,27,18,1495,2001,Evropa
30037,Amanda,Coetzer,Amanda Coetzer,RSA,1971-10-22,30,19,1474,2001,Afrika
200265,Iroda,Tulyaganova,Iroda Tulyaganova,UZB,1982-01-07,20,20,1166,2001,
190349,Barbara,Schett,Barbara Schett,AUT,1976-03-10,26,21,1151,2001,Evropa
180144,Lisa,Raymond,Lisa Raymond,USA,1973-08-10,28,22,1101,2001,Severna Amerika
130324,Angeles,Montolio,Angeles Montolio,ESP,1975-08-06,26,23,1041,2001,Evropa
70192,Rita,Grande,Rita Grande,ITA,1975-03-23,27,24,1020,2001,Evropa
140145,Henrieta,Nagyova,Henrieta Nagyova,SVK,1978-12-15,23,25,993,2001,Evropa
190482,Magui,Serna,Magui Serna,ESP,1979-03-01,23,26,973,2001,Evropa
190360,Paola,Suárez,Paola Suárez,ARG,1976-06-23,26,27,968,2001,Južna Amerika
20522,Daja,Bedanova,Daja Bedanova,CZE,1983-03-09,19,28,935,2001,Evropa
200137,Tamarine,Tanasugarn,Tamarine Tanasugarn,THA,1977-05-24,25,29,916,2001,Azija
190353,Ai,Sugiyama,Ai Sugiyama,JPN,1975-07-05,26,30,910,2001,Azija
190666,Francesca,Schiavone,Francesca Schiavone,ITA,1980-06-23,22,31,900,2001,Evropa
200122,Cristina,Torrens Valero,Cristina Torrens Valero,ESP,1974-09-12,27,32,900,2001,Evropa
